Date,Venue,Location,Time,event_type,orchestra_id
1921-04-24T05:00:00Z,Civic Auditorium,"San Francisco, CA",None,,2816
1921-04-26T04:00:00Z,Unknown Venue,"Portland, OR",None,,2817
1921-04-27T04:00:00Z,Arena Theater,"Seattle, WA",8:20PM,,2818
1921-04-28T04:00:00Z,Auditorium Theatre,"Spokane, WA",None,,2819
1921-04-29T04:00:00Z,Keylor Grand,"Walla Walla, WA",None,,2820
1921-04-29T04:00:00Z,Carnegie Hall,"Manhattan, NY",2:30PM,,2821
1921-05-03T04:00:00Z,Carnegie Hall,"Manhattan, NY",8:15PM,,2822
1921-04-30T04:00:00Z,L.D.S. Tabernacle,"Le Grande, OR",None,,2823
1921-05-02T04:00:00Z,Salt Lake Tabernacle,"Salt Lake City, UT",None,,2824
1921-05-02T04:00:00Z,Salt Lake Tabernacle,"Salt Lake City, UT",None,,2825
1921-05-03T04:00:00Z,The Armory,"Grand Junction, CO",8:30PM,,2826
1921-05-04T04:00:00Z,Burns Theater,"Colorado Springs, CO",None,,2827
1921-05-05T04:00:00Z,Auditorium,"Denver, CO",None,,2828
1921-05-06T04:00:00Z,City Auditorium,"Pueblo, CO",8:00PM,,2829
1921-05-07T04:00:00Z,The Forum,"Wichita, KS",8:15PM,,2830
1921-05-08T04:00:00Z,College Auditorium,"Manhattan, KS",None,,2831
1921-05-09T04:00:00Z,Robinson Gymnasium,"Lawrence, KS",8:20PM,,2832
1921-05-10T04:00:00Z,Lyceum Theatre,"St. Joseph, MO",8:30PM,,2833
1921-05-11T04:00:00Z,City Auditorium,"Lincoln, NE",None,,2834
1921-05-11T04:00:00Z,City Auditorium,"Lincoln, NE",None,,2835
1921-05-12T04:00:00Z,The Coliseum,"Des Moines, IA",None,,2836
1921-05-13T04:00:00Z,High School Auditorium,"Sioux City, IA",None,,2837
1921-05-14T04:00:00Z,Coliseum Theater,"Sioux Falls, SD",None,,2838
1921-05-15T04:00:00Z,Auditorium,"Minneapolis, MN",3:30PM,,2839
1921-05-16T04:00:00Z,Armory,"Fargo, ND",None,,2840
1921-05-17T04:00:00Z,City Auditorium,"Grand Forks, ND",None,,2841
1921-05-18T04:00:00Z,New Armory,"Duluth, MN",3:00PM,,2842
1921-05-18T04:00:00Z,New Armory,"Duluth, MN",None,,2843
1921-05-19T04:00:00Z,Auditorium,"Eau Claire, WI",8:00PM,,2844
1921-05-20T04:00:00Z,Rothschild Park Pavilion,"Wausau, WI",None,,2845
1921-05-21T04:00:00Z,Lawrence Memorial Chapel,"Appleton, WI",8:20PM,,2846
1921-05-22T04:00:00Z,Milwaukee Auditorium,"Milwaukee, WI",None,,2847
1921-05-23T04:00:00Z,University Armory,"Madison, WI",None,,2848
1921-05-24T04:00:00Z,Gymnasium,"Evanston, IL",8:15PM,,2849
1921-05-25T04:00:00Z,Lincoln Square Theatre,"Decatur, IL",None,,2850
1921-05-26T04:00:00Z,Grand Opera,"Jacksonville, IL",None,,2851
1921-05-27T04:00:00Z,Memorial Hall,"Lima, OH",None,,2852
1921-05-28T04:00:00Z,Grand Theater,"Tiffin, OH",None,,2853
1921-05-30T04:00:00Z,Winter Garden,"London, CANADA",None,,2854
1921-05-31T04:00:00Z,Massey Hall,"Toronto, CANADA",None,,2855
1921-06-01T04:00:00Z,Olympic Theatre,"Watertown, NY",None,,2856
1921-06-03T04:00:00Z,Théâtre St-Denis,"Montreal, CANADA",None,,2857
1921-06-04T04:00:00Z,Gymnasium,"Burlington, VT",None,,2858
1921-10-20T05:00:00Z,Carnegie Hall,"Manhattan, NY",3:00PM,,2859
1921-10-21T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:15PM,,2860
1921-10-23T05:00:00Z,Aeolian Hall,"Manhattan, NY",3:00PM,,2861
1921-10-27T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:30PM,,2862
1921-10-28T05:00:00Z,Carnegie Hall,"Manhattan, NY",2:30PM,,2863
1921-10-29T05:00:00Z,Carnegie Hall,"Manhattan, NY",2:30PM,,2864
1921-10-30T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:30PM,,2865
1921-10-30T05:00:00Z,Park Theatre,"Bridgeport, CT",2:45PM,,2866
1921-10-31T05:00:00Z,Woolsey Hall,"New Haven, CT",8:15PM,,2867
1921-11-01T05:00:00Z,Mechanics Hall,"Worcester, MA",8:15PM,,2868
1921-11-02T05:00:00Z,John M. Greene Hall,"Northampton, MA",8:00PM,,2869
1921-11-03T05:00:00Z,Carnegie Hall,"Manhattan, NY",3:00PM,,2870
1921-11-04T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:15PM,,2871
1921-11-03T05:00:00Z,Municipal Auditorium,"Springfield, MA",8:15PM,,2872
1921-11-04T05:00:00Z,City Hall,"Holyoke, MA",8:15PM,,2873
1921-11-05T05:00:00Z,State Armory,"New London, CT",8:00PM,,2874
1921-11-06T05:00:00Z,Aeolian Hall,"Manhattan, NY",3:00PM,,2875
1921-11-06T05:00:00Z,Shubert-Majestic Theatre,"Providence, RI",3:15PM,,2876
1921-11-10T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:30PM,,2877
1921-11-11T05:00:00Z,Carnegie Hall,"Manhattan, NY",2:30PM,,2878
1921-11-12T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:30PM,,2879
1921-11-13T05:00:00Z,Brooklyn Academy of Music,"Brooklyn, NY",3:15PM,,2880
1921-11-17T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:30PM,,2881
1921-11-18T05:00:00Z,Carnegie Hall,"Manhattan, NY",2:30PM,,2882
1921-11-19T05:00:00Z,Hall of the Commercial High School,"Brooklyn, NY",8:15PM,,2883
1921-11-20T05:00:00Z,Carnegie Hall,"Manhattan, NY",3:00PM,,2884
1921-11-25T05:00:00Z,Carnegie Hall,"Manhattan, NY",2:30PM,,2885
1921-11-26T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:30PM,,2886
1921-11-27T05:00:00Z,Aeolian Hall,"Manhattan, NY",3:00PM,,2887
1921-11-27T05:00:00Z,Carnegie Hall,"Manhattan, NY",3:00PM,,2888
1921-11-29T05:00:00Z,Metropolitan Opera House (39th street),"Manhattan, NY",8:15PM,,2889
1921-12-01T05:00:00Z,Carnegie Hall,"Manhattan, NY",3:00PM,,2890
1921-12-02T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:15PM,,2891
1921-12-02T05:00:00Z,Carnegie Hall,"Manhattan, NY",2:30PM,,2892
1921-12-03T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:30PM,,2893
1921-12-04T05:00:00Z,Aeolian Hall,"Manhattan, NY",3:00PM,,2894
1921-12-04T05:00:00Z,Hippodrome,"Manhattan, NY",8:15PM,,2895
1921-12-04T05:00:00Z,Brooklyn Academy of Music,"Brooklyn, NY",3:15PM,,2896
1921-12-08T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:30PM,,2897
1921-12-09T05:00:00Z,Carnegie Hall,"Manhattan, NY",2:30PM,,2898
1921-12-08T05:00:00Z,Carnegie Hall,"Manhattan, NY",3:00PM,,2899
1921-12-09T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:15PM,,2900
1921-12-10T05:00:00Z,Carnegie Hall,"Manhattan, NY",2:30PM,,2901
1921-12-11T05:00:00Z,Aeolian Hall,"Manhattan, NY",3:00PM,,2902
1921-12-11T05:00:00Z,Carnegie Hall,"Manhattan, NY",3:00PM,,2903
1921-12-13T05:00:00Z,Alexander Hall,"Princeton, NJ",8:30PM,,2904
1921-12-15T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:30PM,,2905
1921-12-16T05:00:00Z,Carnegie Hall,"Manhattan, NY",2:30PM,,2906
1921-12-17T05:00:00Z,Hall of the Commercial High School,"Brooklyn, NY",8:15PM,,2907
1921-12-29T05:00:00Z,Carnegie Hall,"Manhattan, NY",3:00PM,,2908
1921-12-30T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:15PM,,2909
1921-12-30T05:00:00Z,Carnegie Hall,"Manhattan, NY",2:30PM,,2910
1921-12-31T05:00:00Z,Carnegie Hall,"Manhattan, NY",2:30PM,,2911
1922-01-01T05:00:00Z,Carnegie Hall,"Manhattan, NY",3:00PM,,2912
1922-01-01T05:00:00Z,Hippodrome,"Manhattan, NY",8:15PM,,2913
1922-01-01T05:00:00Z,Aeolian Hall,"Manhattan, NY",3:00PM,,2914
1922-01-02T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:15PM,,2915
1922-01-05T05:00:00Z,Carnegie Hall,"Manhattan, NY",3:00PM,,2916
1922-01-06T05:00:00Z,Carnegie Hall,"Manhattan, NY",8:15PM,,2917
1922-01-05T05:00:00Z,Waldorf-Astoria Hotel,"Manhattan, NY",8:30PM,,2918
